concept_id,vendor,vendor_metric,phase_id,phase_name,metric_role,data_type,unit,polarity,definition_tr,counting_rule,scope,dependencies,source_urls,definition_status
HP.SB.gol,sportsbase_label,Gol,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),reward,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.pozisyonlar,sportsbase_label,Pozisyonlar,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.chances_successful,sportsbase_label,"Chances successful, %",1_Organize_Hucum,Organize Hücum (Yerleşik oyun),skill,event_or_matchstats,Maç başına ortalama,higher_is_better,Yaratılan gol pozisyonlarının gole dönüşme oranı (tanım sağlayıcıya göre “big chance”/“chance” ayrımı olabilir).,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,https://support.hudl.com/s/article/event-data-glossary-team-metrics,OK
HP.SB.faul,sportsbase_label,Faul,4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,,MISSING
HP.SB.sari_kartlar,sportsbase_label,Sarı Kartlar,4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),risk,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,,MISSING
HP.SB.kirmizi_kartlar,sportsbase_label,Kırmızı Kartlar,4_Organize_Savunma,Organize Savunma (Yerleşik savunma + baskı),risk,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""4_Organize_Savunma"", ""phase_name"": ""Organize Savunma (Yerleşik savunma + baskı)""}",,,MISSING
HP.SB.kornerler,sportsbase_label,Kornerler,3_DuranTop_Hucum,Duran Top Hücumu,intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""3_DuranTop_Hucum"", ""phase_name"": ""Duran Top Hücumu""}",,,MISSING
HP.SB.sut,sportsbase_label,Şut,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.i_sabetli_sut,sportsbase_label,İsabetli Şut,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
HP.SB.rakip_sahaya_girisler,sportsbase_label,Rakip sahaya girişler,1_Organize_Hucum,Organize Hücum (Yerleşik oyun),intent,event_or_matchstats,Maç başına ortalama,higher_is_better,,,"{""phase_id"": ""1_Organize_Hucum"", ""phase_name"": ""Organize Hücum (Yerleşik oyun)""}",,,MISSING
